Title,Movie Link,Year,Duration,MPA,Rating,Votes,Description
89. The Wedding Date,https://www.imdb.com/title/tt0372532/?ref_=sr_t_89,2005,1h 30m,PG-13,6.1,57K,"Single-girl anxiety causes Kat Ellis to hire a male escort to pose as her boyfriend at her sister's wedding. Her plan, an attempt to dupe her ex-fiancé, who dumped her a couple years prior, proves to be her undoing."
"90. Good Night, and Good Luck.",https://www.imdb.com/title/tt0433383/?ref_=sr_t_90,2005,1h 33m,PG,7.4,103K,Broadcast journalist Edward R. Murrow looks to bring down Senator Joseph McCarthy.
91. A History of Violence,https://www.imdb.com/title/tt0399146/?ref_=sr_t_91,2005,1h 36m,R,7.4,262K,"A mild-mannered man becomes a local hero through an act of violence, which sets off repercussions that will shake his family to its very core."
92. Get Rich or Die Tryin',https://www.imdb.com/title/tt0430308/?ref_=sr_t_92,2005,1h 57m,R,5.5,52K,A tale of an inner city drug dealer who turns away from a life of crime to pursue his passion of rap music.
93. The Fog,https://www.imdb.com/title/tt0432291/?ref_=sr_t_93,2005,1h 40m,PG-13,3.7,40K,"A thick mist full of vengeful spirits haunts a prosperous island town off the coast of Oregon, as its inhabitants try to learn their town's dark secret in order to stop it."
94. Zathura: A Space Adventure,https://www.imdb.com/title/tt0406375/?ref_=sr_t_94,2005,1h 41m,PG,6.3,120K,Two young brothers are drawn into an intergalactic adventure when their house is hurled through the depths of space by the magical board game they are playing.
95. Rent,https://www.imdb.com/title/tt0294870/?ref_=sr_t_95,2005,2h 15m,PG-13,6.8,57K,"In New York City's gritty East Village, a group of bohemians strive for success and acceptance while enduring the obstacles of poverty, illness and the AIDS epidemic."
96. Capote,https://www.imdb.com/title/tt0379725/?ref_=sr_t_96,2005,1h 54m,R,7.3,144K,"In 1959, Truman Capote learns of the murder of a Kansas family and decides to write a book about the case. While researching for his novel In Cold Blood, Capote forms a relationship with one of the killers, Perry Smith, who is on death row."
97. Doom,https://www.imdb.com/title/tt0419706/?ref_=sr_t_97,2005,1h 45m,R,5.2,121K,Space Marines are sent to investigate strange events at a research facility on Mars but find themselves at the mercy of genetically enhanced killing machines.
98. xXx: State of the Union,https://www.imdb.com/title/tt0329774/?ref_=sr_t_98,2005,1h 41m,PG-13,4.5,75K,"Darius Stone, a new agent in the xXx program, is sent to Washington, D.C. to stop a coup attempt against the President of the United States."
99. Elizabethtown,https://www.imdb.com/title/tt0368709/?ref_=sr_t_99,2005,2h 3m,PG-13,6.3,74K,"During a hometown memorial for his Kentucky-born father, a young man begins an unexpected romance with a too-good-to-be-true stewardess."
100. The Descent,https://www.imdb.com/title/tt0435625/?ref_=sr_t_100,2005,1h 39m,R,7.2,257K,"A caving expedition goes horribly wrong, as the explorers become trapped and ultimately pursued by a strange breed of predators."
