,Title,Year,Duration,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,stars,genres,wins,nominations,oscars,genres_count
484,Cinderella Man,2005,144.0,8.0,203000.0,"The true story of James J. Braddock, a supposedly washed-up boxer, who returned to the spotlight to win the heavyweight championship of the world.",88000000.0,108539911.0,61649911.0,18320205.0,Renée Zellweger,Drama,16,45,3,1470
485,Cinderella Man,2005,144.0,8.0,203000.0,"The true story of James J. Braddock, a supposedly washed-up boxer, who returned to the spotlight to win the heavyweight championship of the world.",88000000.0,108539911.0,61649911.0,18320205.0,Craig Bierko,Drama,16,45,3,1470
486,Groundhog Day,1993,101.0,8.0,709000.0,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",14600000.0,71108778.0,71107962.0,12517672.0,Bill Murray,Fantasy,7,17,0,435
487,Groundhog Day,1993,101.0,8.0,709000.0,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",14600000.0,71108778.0,71107962.0,12517672.0,Andie MacDowell,Fantasy,7,17,0,435
488,Groundhog Day,1993,101.0,8.0,709000.0,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day.",14600000.0,71108778.0,71107962.0,12517672.0,Chris Elliott,Fantasy,7,17,0,435
489,Gandhi,1982,191.0,8.0,243000.0,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,22000000.0,52768419.0,52767889.0,131153.0,Ben Kingsley,Drama,35,23,8,1470
490,Gandhi,1982,191.0,8.0,243000.0,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,22000000.0,52768419.0,52767889.0,131153.0,John Gielgud,Drama,35,23,8,1470
491,Gandhi,1982,191.0,8.0,243000.0,The life of the lawyer who became the famed leader of the Indian revolts against the British rule through his philosophy of nonviolent protest.,22000000.0,52768419.0,52767889.0,131153.0,Rohini Hattangadi,Drama,35,23,8,1470
492,Magnolia,1999,188.0,8.0,336000.0,"An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley.",37000000.0,48453541.0,22455976.0,193604.0,Tom Cruise,Drama,28,59,3,1470
493,Magnolia,1999,188.0,8.0,336000.0,"An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley.",37000000.0,48453541.0,22455976.0,193604.0,Jason Robards,Drama,28,59,3,1470
494,Magnolia,1999,188.0,8.0,336000.0,"An epic mosaic of interrelated characters in search of love, forgiveness and meaning in the San Fernando Valley.",37000000.0,48453541.0,22455976.0,193604.0,Julianne Moore,Drama,28,59,3,1470
495,Her,2013,126.0,8.0,695000.0,"In the near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.",23000000.0,48269269.0,25568251.0,260382.0,Joaquin Phoenix,Science-Fiction,83,186,1,150
