,Title,Year,Duration,Rating,Votes,Description,budget,grossWorldWide,gross_US_Canada,opening_weekend_Gross,stars,genres,wins,nominations,oscars,genres_count
126,Wish You Were Here,2025,99.0,4.5,278.0,A woman searching for a spark finds a whirlwind night of romance with a man only to discover he is terminally ill and commits to helping him spend his last days living life to the fullest.,25500000.0,977709.0,2339255.0,2339255.0,Isabelle Fuhrman,Romantic,0,0,0,9
127,Wish You Were Here,2025,99.0,4.5,278.0,A woman searching for a spark finds a whirlwind night of romance with a man only to discover he is terminally ill and commits to helping him spend his last days living life to the fullest.,25500000.0,977709.0,2339255.0,2339255.0,Mena Massoud,Romantic,0,0,0,9
128,Wish You Were Here,2025,99.0,4.5,278.0,A woman searching for a spark finds a whirlwind night of romance with a man only to discover he is terminally ill and commits to helping him spend his last days living life to the fullest.,25500000.0,977709.0,2339255.0,2339255.0,Gabby Kono-Abdy,Romantic,0,0,0,9
129,Sniper: The Last Stand,2025,99.0,4.5,498.0,"An expert sniper leads a special ops team in Costa Verde to prevent a dangerous arms dealer from deploying a lethal weapon. While mentoring a rookie shooter, he struggles with his new leadership role as the mission grows deadlier.",25500000.0,977709.0,2339255.0,2339255.0,Chad Michael Collins,Action,0,0,0,63
130,Sniper: The Last Stand,2025,99.0,4.5,498.0,"An expert sniper leads a special ops team in Costa Verde to prevent a dangerous arms dealer from deploying a lethal weapon. While mentoring a rookie shooter, he struggles with his new leadership role as the mission grows deadlier.",25500000.0,977709.0,2339255.0,2339255.0,Ryan Robbins,Action,0,0,0,63
131,Sniper: The Last Stand,2025,99.0,4.5,498.0,"An expert sniper leads a special ops team in Costa Verde to prevent a dangerous arms dealer from deploying a lethal weapon. While mentoring a rookie shooter, he struggles with his new leadership role as the mission grows deadlier.",25500000.0,977709.0,2339255.0,2339255.0,Sharon Taylor,Action,0,0,0,63
132,Opus,2025,103.0,4.2,218.0,An iconic pop star returns after decades missing.,25500000.0,977709.0,2339255.0,2339255.0,Ayo Edebiri,Drama,0,0,0,18
133,Opus,2025,103.0,4.2,218.0,An iconic pop star returns after decades missing.,25500000.0,977709.0,2339255.0,2339255.0,John Malkovich,Drama,0,0,0,18
134,Opus,2025,103.0,4.2,218.0,An iconic pop star returns after decades missing.,25500000.0,977709.0,2339255.0,2339255.0,Juliette Lewis,Drama,0,0,0,18
135,Star Trek: Section 31,2025,95.0,3.8,11000.0,"In Star Trek: Section 31, Emperor Philippa Georgiou joins a secret division of Starfleet tasked with protecting the United Federation of Planets, and must face the sins of her past.",25500000.0,977709.0,2339255.0,2339255.0,Michelle Yeoh,Action,0,0,0,63
136,Star Trek: Section 31,2025,95.0,3.8,11000.0,"In Star Trek: Section 31, Emperor Philippa Georgiou joins a secret division of Starfleet tasked with protecting the United Federation of Planets, and must face the sins of her past.",25500000.0,977709.0,2339255.0,2339255.0,Omari Hardwick,Action,0,0,0,63
137,Star Trek: Section 31,2025,95.0,3.8,11000.0,"In Star Trek: Section 31, Emperor Philippa Georgiou joins a secret division of Starfleet tasked with protecting the United Federation of Planets, and must face the sins of her past.",25500000.0,977709.0,2339255.0,2339255.0,Sam Richardson,Action,0,0,0,63
138,Alarum,2025,95.0,3.3,1800.0,"Two rogue spies go off-grid, marry, and come under attack at their remote cabin hideaway by various intel agencies seeking a stolen hard drive.",20000000.0,182338.0,2339255.0,2339255.0,Scott Eastwood,Action,0,0,0,63
139,Alarum,2025,95.0,3.3,1800.0,"Two rogue spies go off-grid, marry, and come under attack at their remote cabin hideaway by various intel agencies seeking a stolen hard drive.",20000000.0,182338.0,2339255.0,2339255.0,Sylvester Stallone,Action,0,0,0,63
140,Alarum,2025,95.0,3.3,1800.0,"Two rogue spies go off-grid, marry, and come under attack at their remote cabin hideaway by various intel agencies seeking a stolen hard drive.",20000000.0,182338.0,2339255.0,2339255.0,Willa Fitzgerald,Action,0,0,0,63
141,Into the Deep,2025,90.0,3.3,549.0,Modern day pirates on the hunt for sunken drugs kidnap a boat of tourists and force them to dive into shark infested waters to retrieve the contraband.,3000000.0,87338.0,2339255.0,2339255.0,Callum McGowan,Action,0,0,0,63
142,Into the Deep,2025,90.0,3.3,549.0,Modern day pirates on the hunt for sunken drugs kidnap a boat of tourists and force them to dive into shark infested waters to retrieve the contraband.,3000000.0,87338.0,2339255.0,2339255.0,Scout Taylor-Compton,Action,0,0,0,63
143,Into the Deep,2025,90.0,3.3,549.0,Modern day pirates on the hunt for sunken drugs kidnap a boat of tourists and force them to dive into shark infested waters to retrieve the contraband.,3000000.0,87338.0,2339255.0,2339255.0,Jon Seda,Action,0,0,0,63
