iter	Passed	Remaining
949	5358	282
950	5360	276
951	5362	270
952	5365	264
953	5367	258
954	5370	253
955	5372	247
956	5375	241
957	5377	235
958	5379	229
959	5381	224
960	5383	218
961	5385	212
962	5387	206
963	5389	201
964	5392	195
965	5394	189
966	5396	184
967	5398	178
968	5400	172
969	5402	167
970	5404	161
971	5406	155
972	5408	150
973	5410	144
974	5412	138
975	5414	133
976	5417	127
977	5418	121
978	5421	116
979	5423	110
980	5425	105
981	5427	99
982	5429	93
983	5431	88
984	5433	82
985	5435	77
986	5437	71
987	5439	66
988	5441	60
989	5443	54
990	5445	49
991	5447	43
992	5449	38
993	5451	32
994	5454	27
995	5456	21
996	5458	16
997	5460	10
998	5462	5
999	5464	0
